session_id,count,large_order
22433,195,True
13846,192,True
22902,185,True
8201,161,True
19623,142,True
14191,128,True
8790,121,True
19464,120,True
6592,112,True
20660,112,True
23383,108,True
20814,107,True
15648,107,True
2363,106,True
9309,104,True
13332,102,True
17209,101,True
16553,96,True
19777,96,True
14336,95,True
4664,94,True
8768,93,True
7080,92,True
19700,92,True
5056,89,True
23585,89,True
12513,89,True
10990,88,True
2783,88,True
5206,87,True
1881,85,True
6962,83,True
23196,80,True
6031,79,True
17855,78,True
15005,78,True
15592,77,True
20851,77,True
20402,77,True
4407,77,True
23329,75,True
11842,74,True
9585,74,True
3515,73,True
5540,73,True
4696,73,True
19048,72,True
11506,72,True
9730,72,True
1955,72,True
10658,71,True
18917,70,True
23904,70,True
6571,70,True
3654,69,True
3858,69,True
2400,69,True
20870,68,True
12241,68,True
13055,67,True
19791,66,True
7373,66,True
7335,66,True
21282,65,True
5497,65,True
9374,65,True
7649,65,True
9598,64,True
14061,64,True
22967,64,True
4465,64,True
18734,63,True
2012,63,True
1602,62,True
8663,62,True
11586,62,True
4077,62,True
24012,61,True
21176,61,True
21486,61,True
638,60,True
2294,60,True
17797,60,True
9875,60,True
16690,60,True
16406,59,True
4776,59,True
1338,58,True
1345,58,True
12953,58,True
21771,58,True
10235,58,True
827,58,True
7378,58,True
19057,58,True
4123,57,True
8512,57,True
21623,56,True
4131,56,True
11604,56,True
12141,56,True
8660,56,True
10819,55,True
3522,55,True
22073,55,True
6975,55,True
15801,55,True
15643,55,True
2766,55,True
3665,55,True
1134,55,True
17448,54,True
5614,54,True
21016,54,True
13704,54,True
13624,53,True
11098,53,True
13657,53,True
4601,53,True
11353,52,True
4889,52,True
10576,52,True
13664,52,True
22522,52,True
13479,52,True
1970,52,True
19673,52,True
21704,52,True
8629,52,True
6672,52,True
18458,52,True
18013,52,True
3520,51,True
4081,51,True
18677,51,True
948,51,True
9513,50,True
13146,50,True
8153,50,True
3327,50,True
12292,50,True
18024,49,True
2913,49,True
8359,49,True
10053,49,True
20866,49,True
7565,49,True
896,49,True
648,49,True
168,49,True
16322,48,True
13099,48,True
16907,48,True
3359,48,True
23296,47,True
9987,47,True
1860,47,True
11836,47,True
19294,47,True
16720,47,True
21140,47,True
7119,47,True
4141,47,True
4294,47,True
21509,47,True
4809,47,True
11756,47,True
2251,47,True
3228,46,True
20139,46,True
13461,46,True
5441,46,True
7395,46,True
10064,46,True
17596,46,True
292,46,True
19168,46,True
4695,46,True
4279,46,True
2228,46,True
20970,46,True
4318,46,True
6488,46,True
21397,45,True
18453,45,True
21213,45,True
17374,45,True
6620,45,True
23999,45,True
2678,45,True
9223,45,True
14960,45,True
184,44,True
23398,44,True
7498,44,True
21403,44,True
1208,44,True
4133,44,True
8558,44,True
17829,44,True
7002,44,True
844,44,True
4765,44,True
18259,44,True
2748,44,True
11136,44,True
17250,44,True
1448,44,True
5122,44,True
18470,44,True
23350,44,True
6560,44,True
11882,44,True
5975,43,True
10716,43,True
11887,43,True
11622,43,True
2452,43,True
3016,43,True
1272,43,True
4438,43,True
4644,43,True
15165,43,True
12515,43,True
14480,43,True
20613,42,True
8431,42,True
18093,42,True
14862,42,True
6076,42,True
18945,42,True
18252,42,True
16040,42,True
21776,42,True
4440,42,True
5743,42,True
7111,42,True
7989,42,True
5264,42,True
7040,42,True
20167,42,True
20898,42,True
4314,42,True
11044,42,True
18869,42,True
11766,42,True
22171,42,True
15607,42,True
12870,42,True
23293,41,True
7447,41,True
5189,41,True
9614,41,True
49,41,True
4899,41,True
11009,41,True
10090,41,True
15078,41,True
23550,41,True
11527,41,True
17304,41,True
8279,41,True
19952,41,True
1558,41,True
8708,41,True
1810,41,True
13996,41,True
6940,41,True
18274,41,True
12802,41,True
9342,40,True
18210,40,True
16324,40,True
23261,40,True
22464,40,True
16581,40,True
11381,40,True
1531,40,True
6865,40,True
21241,40,True
15940,40,True
8027,40,True
17410,40,True
2048,40,True
9455,40,True
20409,40,True
5217,40,True
9819,40,True
17623,40,True
462,40,True
5833,40,True
10390,40,True
6567,40,True
7663,40,True
9147,39,True
23798,39,True
16389,39,True
20236,39,True
12880,39,True
12951,39,True
14850,39,True
8896,39,True
15890,39,True
21074,39,True
8673,39,True
18997,39,True
5402,39,True
10096,39,True
19238,39,True
19285,39,True
21044,39,True
19279,39,True
12056,39,True
21580,39,True
10857,39,True
16385,39,True
16077,38,True
1485,38,True
16263,38,True
8156,38,True
15299,38,True
125,38,True
5241,38,True
6719,38,True
14021,38,True
22686,38,True
6533,38,True
19499,38,True
6431,38,True
11719,38,True
14432,38,True
19775,38,True
17436,38,True
23654,38,True
5621,38,True
14109,38,True
15500,38,True
1946,38,True
15474,38,True
22078,38,True
2459,38,True
16966,38,True
23029,38,True
22599,38,True
4256,38,True
17637,38,True
22787,38,True
7334,37,True
22627,37,True
14207,37,True
23291,37,True
10771,37,True
12921,37,True
3617,37,True
8210,37,True
11325,37,True
13988,37,True
11844,37,True
14204,37,True
21342,37,True
1101,37,True
6555,37,True
1030,37,True
14234,37,True
22798,37,True
7596,37,True
21616,37,True
1172,37,True
6131,37,True
1258,37,True
3760,37,True
12656,36,True
16805,36,True
5361,36,True
23322,36,True
10909,36,True
3416,36,True
23846,36,True
20031,36,True
8353,36,True
21876,36,True
8356,36,True
6209,36,True
17358,36,True
17452,36,True
5555,36,True
6262,36,True
17744,36,True
20914,36,True
